id,area,name,address,lon,lat,elevation
4,1,Pza. de España,Plaza de España,-3.712247222222224,40.423852777777775,635
8,1,Escuelas Aguirre,Entre C/ Alcalá y C/ O’ Donell ,-3.682319444444445,40.42156388888888,670
11,1,Avda. Ramón y Cajal,Avda. Ramón y Cajal  esq. C/ Príncipe de Vergara,-3.6773555555555553,40.451475,708
16,3,Arturo Soria,C/ Arturo Soria  esq. C/  Vizconde de los Asilos ,-3.6392333333333333,40.44004722222222,693
17,5,Villaverde,C/. Juan Peñalver,-3.713322222222221,40.347138888888885,604
18,5,Farolillo,Calle Farolillo - C/Ervigio,-3.7318527777777777,40.39478055555556,630
24,4,Casa de Campo,Casa de Campo  (Terminal del Teleférico),-3.7473472222222224,40.41935555555556,642
27,3,Barajas Pueblo,"C/. Júpiter, 21 (Barajas) ",-3.580030555555555,40.47692777777778,621
35,1,Pza. del Carmen,Plaza del Carmen esq. Tres Cruces. ,-3.7031722222222223,40.41920833333333,659
36,2,Moratalaz,Avd. Moratalaz  esq. Camino de los Vinateros,-3.6453055555555554,40.40794722222222,685
38,1,Cuatro Caminos,Avda. Pablo Iglesias esq. C/ Marqués de Lema,-3.7071277777777785,40.44554444444445,698
39,1,Barrio del Pilar,Avd. Betanzos esq. C/  Monforte de Lemos ,-3.7115416666666654,40.47822777777778,674
40,2,Vallecas,C/ Arroyo del Olivar  esq. C/  Río Grande. ,-3.6515222222222223,40.38815277777777,677
47,1,Mendez Alvaro,C/ Juan de Mariana / Pza. Amanecer Mendez Alvaro,-3.686825,40.398113888888886,599
48,1,Castellana,C/ Jose Gutierrez Abascal,-3.690366666666667,40.43989722222222,676
49,1,Parque del Retiro,Paseo Venezuela- Casa de Vacas,-3.682583333333333,40.414444444444435,662
50,1,Plaza Castilla,Plaza Castilla (Canal),-3.688769444444445,40.46557222222223,728
54,2,Ensanche de Vallecas,Avda La Gavia / Avda. Las Suertes,-3.612116666666666,40.372933333333336,627
55,3,Urb. Embajada,C/ Riaño (Barajas) ,-3.5807472222222216,40.46253055555556,618
56,5,Pza. Fernández Ladreda, Pza. Fernández Ladreda - Avda. Oporto,-3.7187277777777785,40.38496388888889,604
57,3,Sanchinarro,C/ Princesa de Eboli esq C/ Maria Tudor,-3.6605027777777774,40.49420833333333,700
58,4,El Pardo,Avda. La Guardia,-3.774611111111111,40.51805833333333,615
59,3,Juan Carlos I,Parque Juan Carlos I (frente oficinas mantenimiento),-3.6090722222222222,40.46525000000001,660
60,3,Tres Olivos,Plaza Tres Olivos ,-3.6897611111111113,40.50058888888889,715
